starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 09:11:48 2024	1723187508	1	1412	1413	1215
Fri Aug 09 09:11:36 2024	1723187496	0	1413	1413	1184
Fri Aug 09 09:11:50 2024	1723187510	0	1413	1414	932
Fri Aug 09 09:11:41 2024	1723187501	0	1418	1418	1135
Fri Aug 09 09:11:39 2024	1723187499	0	1420	1420	1419
Fri Aug 09 09:11:34 2024	1723187494	0	1420	1420	1336
Fri Aug 09 09:11:43 2024	1723187503	0	1420	1420	1370
Fri Aug 09 09:11:51 2024	1723187511	0	1421	1421	1248
Fri Aug 09 09:11:40 2024	1723187500	1	1421	1422	1244
Fri Aug 09 09:11:51 2024	1723187511	1	1424	1424	1369
Fri Aug 09 09:11:39 2024	1723187499	1	1424	1424	1203
Fri Aug 09 09:11:32 2024	1723187492	0	1425	1425	982
Fri Aug 09 09:11:28 2024	1723187488	0	1425	1425	1196
Fri Aug 09 09:11:35 2024	1723187495	0	1425	1425	1402
Fri Aug 09 09:11:45 2024	1723187505	0	1425	1425	1424
Fri Aug 09 09:11:42 2024	1723187502	0	1429	1429	1276
Fri Aug 09 09:11:40 2024	1723187500	0	1430	1430	1284
Fri Aug 09 09:11:39 2024	1723187499	0	1434	1434	1433
Fri Aug 09 09:11:41 2024	1723187501	0	1434	1434	1190
Fri Aug 09 09:11:29 2024	1723187489	0	1434	1434	1241
Fri Aug 09 09:11:42 2024	1723187502	0	1434	1435	1426
Fri Aug 09 09:11:41 2024	1723187501	0	1435	1435	983
Fri Aug 09 09:11:43 2024	1723187503	0	1436	1436	1406
Fri Aug 09 09:11:50 2024	1723187510	0	1438	1438	1247
Fri Aug 09 09:11:36 2024	1723187496	0	1439	1439	1436
Fri Aug 09 09:11:32 2024	1723187492	0	1439	1439	1071
Fri Aug 09 09:11:32 2024	1723187492	0	1440	1440	1195
Fri Aug 09 09:11:46 2024	1723187506	0	1443	1443	1441
Fri Aug 09 09:11:48 2024	1723187508	0	1446	1446	1187
Fri Aug 09 09:11:41 2024	1723187501	0	1446	1446	1283
Fri Aug 09 09:11:51 2024	1723187511	0	1446	1447	1444
Fri Aug 09 09:11:33 2024	1723187493	0	1447	1447	1245
Fri Aug 09 09:11:44 2024	1723187504	0	1447	1448	1256
Fri Aug 09 09:11:31 2024	1723187491	0	1448	1448	1363
