starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 09:11:35 2024	1723187495	0	1206	1206	1205
Fri Aug 09 09:11:49 2024	1723187509	0	1206	1207	1022
Fri Aug 09 09:11:36 2024	1723187496	0	1208	1208	1087
Fri Aug 09 09:11:37 2024	1723187497	0	1208	1208	1180
Fri Aug 09 09:11:36 2024	1723187496	0	1209	1209	1208
Fri Aug 09 09:11:52 2024	1723187512	0	1209	1209	1156
Fri Aug 09 09:11:33 2024	1723187493	0	1209	1209	1128
Fri Aug 09 09:11:49 2024	1723187509	0	1210	1210	1141
Fri Aug 09 09:11:47 2024	1723187507	0	1210	1210	1040
Fri Aug 09 09:11:31 2024	1723187491	0	1210	1210	857
Fri Aug 09 09:11:43 2024	1723187503	0	1211	1211	1071
Fri Aug 09 09:11:50 2024	1723187510	0	1212	1212	971
Fri Aug 09 09:11:30 2024	1723187490	1	1212	1212	1141
Fri Aug 09 09:11:38 2024	1723187498	0	1213	1213	1212
Fri Aug 09 09:11:37 2024	1723187497	0	1214	1214	1118
Fri Aug 09 09:11:35 2024	1723187495	0	1214	1214	1202
Fri Aug 09 09:11:47 2024	1723187507	0	1214	1214	1053
Fri Aug 09 09:11:46 2024	1723187506	0	1214	1214	1149
Fri Aug 09 09:11:36 2024	1723187496	0	1214	1215	1211
Fri Aug 09 09:11:36 2024	1723187496	0	1215	1215	1125
Fri Aug 09 09:11:42 2024	1723187502	0	1215	1215	1062
Fri Aug 09 09:11:45 2024	1723187505	0	1216	1216	1215
Fri Aug 09 09:11:29 2024	1723187489	0	1216	1216	1129
Fri Aug 09 09:11:36 2024	1723187496	0	1216	1217	1061
Fri Aug 09 09:11:41 2024	1723187501	0	1216	1217	716
Fri Aug 09 09:11:28 2024	1723187488	4	1214	1217	1168
Fri Aug 09 09:11:51 2024	1723187511	0	1219	1219	1218
Fri Aug 09 09:11:32 2024	1723187492	0	1220	1220	1219
Fri Aug 09 09:11:34 2024	1723187494	1	1220	1221	1157
Fri Aug 09 09:11:28 2024	1723187488	4	1217	1221	1216
Fri Aug 09 09:11:28 2024	1723187488	6	1215	1221	1166
Fri Aug 09 09:11:28 2024	1723187488	7	1214	1221	1213
Fri Aug 09 09:11:48 2024	1723187508	0	1221	1221	830
Fri Aug 09 09:11:50 2024	1723187510	0	1222	1222	976
Fri Aug 09 09:11:50 2024	1723187510	0	1222	1222	673
Fri Aug 09 09:11:38 2024	1723187498	0	1222	1223	1133
Fri Aug 09 09:11:40 2024	1723187500	0	1224	1224	1217
Fri Aug 09 09:11:47 2024	1723187507	0	1225	1225	1069
Fri Aug 09 09:11:50 2024	1723187510	0	1225	1225	1113
Fri Aug 09 09:11:44 2024	1723187504	0	1226	1226	1224
Fri Aug 09 09:11:46 2024	1723187506	0	1226	1227	897
Fri Aug 09 09:11:44 2024	1723187504	0	1229	1229	961
Fri Aug 09 09:11:52 2024	1723187512	0	1230	1230	1165
Fri Aug 09 09:11:49 2024	1723187509	0	1231	1231	1225
Fri Aug 09 09:11:49 2024	1723187509	0	1231	1231	1159
Fri Aug 09 09:11:31 2024	1723187491	0	1234	1234	1125
Fri Aug 09 09:11:32 2024	1723187492	0	1234	1234	816
Fri Aug 09 09:11:52 2024	1723187512	0	1234	1234	1169
Fri Aug 09 09:11:40 2024	1723187500	0	1235	1236	1140
Fri Aug 09 09:11:50 2024	1723187510	0	1236	1236	770
Fri Aug 09 09:11:36 2024	1723187496	0	1236	1236	1236
Fri Aug 09 09:11:31 2024	1723187491	0	1237	1237	1190
Fri Aug 09 09:11:28 2024	1723187488	6	1231	1237	1231
Fri Aug 09 09:11:36 2024	1723187496	0	1237	1237	876
Fri Aug 09 09:11:46 2024	1723187506	0	1239	1240	951
Fri Aug 09 09:11:32 2024	1723187492	0	1239	1240	804
Fri Aug 09 09:11:40 2024	1723187500	0	1240	1241	1237
Fri Aug 09 09:11:43 2024	1723187503	0	1241	1241	1170
Fri Aug 09 09:11:28 2024	1723187488	6	1236	1242	1235
Fri Aug 09 09:11:33 2024	1723187493	0	1242	1242	1236
Fri Aug 09 09:11:49 2024	1723187509	0	1242	1243	1191
Fri Aug 09 09:11:28 2024	1723187488	5	1239	1243	1193
Fri Aug 09 09:11:36 2024	1723187496	1	1243	1244	1151
Fri Aug 09 09:11:39 2024	1723187499	0	1244	1244	1046
Fri Aug 09 09:11:33 2024	1723187493	0	1244	1244	1196
Fri Aug 09 09:11:47 2024	1723187507	0	1245	1245	1243
Fri Aug 09 09:11:46 2024	1723187506	0	1246	1246	1063
Fri Aug 09 09:11:42 2024	1723187502	0	1246	1246	1210
Fri Aug 09 09:11:33 2024	1723187493	0	1248	1248	1247
Fri Aug 09 09:11:32 2024	1723187492	0	1248	1249	1243
Fri Aug 09 09:11:28 2024	1723187488	7	1241	1249	1202
Fri Aug 09 09:11:38 2024	1723187498	0	1248	1249	873
Fri Aug 09 09:11:38 2024	1723187498	0	1249	1249	1247
Fri Aug 09 09:11:41 2024	1723187501	0	1249	1249	1179
Fri Aug 09 09:11:50 2024	1723187510	0	1249	1249	716
Fri Aug 09 09:11:51 2024	1723187511	0	1249	1250	1248
Fri Aug 09 09:11:45 2024	1723187505	0	1251	1251	1117
Fri Aug 09 09:11:35 2024	1723187495	0	1252	1253	1251
Fri Aug 09 09:11:42 2024	1723187502	0	1253	1253	1252
Fri Aug 09 09:11:32 2024	1723187492	0	1253	1253	1089
Fri Aug 09 09:11:39 2024	1723187499	0	1253	1253	940
Fri Aug 09 09:11:34 2024	1723187494	0	1256	1257	1081
Fri Aug 09 09:11:48 2024	1723187508	0	1256	1257	1256
Fri Aug 09 09:11:44 2024	1723187504	0	1257	1257	1127
Fri Aug 09 09:11:34 2024	1723187494	0	1257	1258	1256
Fri Aug 09 09:11:28 2024	1723187488	7	1251	1258	1249
Fri Aug 09 09:11:30 2024	1723187490	0	1258	1258	1130
Fri Aug 09 09:11:49 2024	1723187509	0	1258	1258	1204
Fri Aug 09 09:11:38 2024	1723187498	0	1259	1259	1259
Fri Aug 09 09:11:32 2024	1723187492	0	1260	1261	739
Fri Aug 09 09:11:45 2024	1723187505	0	1261	1261	1259
Fri Aug 09 09:11:45 2024	1723187505	0	1261	1261	1259
Fri Aug 09 09:11:30 2024	1723187490	0	1262	1262	1117
Fri Aug 09 09:11:32 2024	1723187492	0	1262	1263	1041
Fri Aug 09 09:11:45 2024	1723187505	0	1263	1263	1262
Fri Aug 09 09:11:47 2024	1723187507	0	1263	1263	1262
Fri Aug 09 09:11:48 2024	1723187508	0	1265	1265	982
Fri Aug 09 09:11:51 2024	1723187511	1	1265	1265	1124
Fri Aug 09 09:11:40 2024	1723187500	0	1266	1266	934
Fri Aug 09 09:11:51 2024	1723187511	0	1266	1266	904
Fri Aug 09 09:11:49 2024	1723187509	0	1266	1266	1211
Fri Aug 09 09:11:51 2024	1723187511	0	1266	1266	1085
Fri Aug 09 09:11:36 2024	1723187496	0	1269	1269	1097
Fri Aug 09 09:11:38 2024	1723187498	0	1270	1270	1187
Fri Aug 09 09:11:45 2024	1723187505	0	1270	1270	1141
Fri Aug 09 09:11:36 2024	1723187496	0	1270	1270	1206
Fri Aug 09 09:11:36 2024	1723187496	0	1270	1270	1008
Fri Aug 09 09:11:52 2024	1723187512	0	1270	1271	1255
Fri Aug 09 09:11:51 2024	1723187511	1	1270	1271	1039
Fri Aug 09 09:11:51 2024	1723187511	2	1270	1272	1055
Fri Aug 09 09:11:28 2024	1723187488	6	1266	1272	1266
Fri Aug 09 09:11:32 2024	1723187492	1	1271	1272	1270
Fri Aug 09 09:11:51 2024	1723187511	0	1272	1273	1059
Fri Aug 09 09:11:30 2024	1723187490	0	1273	1273	1012
Fri Aug 09 09:11:34 2024	1723187494	0	1275	1275	1142
Fri Aug 09 09:11:32 2024	1723187492	0	1276	1277	1275
Fri Aug 09 09:11:40 2024	1723187500	0	1279	1279	1145
Fri Aug 09 09:11:35 2024	1723187495	0	1279	1279	1274
Fri Aug 09 09:11:35 2024	1723187495	0	1280	1280	1278
Fri Aug 09 09:11:47 2024	1723187507	0	1281	1281	1280
Fri Aug 09 09:11:41 2024	1723187501	0	1282	1282	1035
Fri Aug 09 09:11:51 2024	1723187511	0	1282	1283	1162
Fri Aug 09 09:11:38 2024	1723187498	0	1284	1284	1152
Fri Aug 09 09:11:45 2024	1723187505	0	1286	1286	971
Fri Aug 09 09:11:47 2024	1723187507	1	1286	1286	1198
Fri Aug 09 09:11:39 2024	1723187499	0	1287	1287	897
Fri Aug 09 09:11:32 2024	1723187492	0	1287	1287	866
Fri Aug 09 09:11:43 2024	1723187503	0	1288	1288	1261
Fri Aug 09 09:11:45 2024	1723187505	0	1289	1289	1150
Fri Aug 09 09:11:39 2024	1723187499	0	1290	1291	1289
Fri Aug 09 09:11:51 2024	1723187511	0	1291	1291	1285
Fri Aug 09 09:11:49 2024	1723187509	0	1291	1291	1283
Fri Aug 09 09:11:38 2024	1723187498	0	1291	1292	1070
Fri Aug 09 09:11:28 2024	1723187488	7	1285	1292	1284
Fri Aug 09 09:11:41 2024	1723187501	0	1292	1292	898
Fri Aug 09 09:11:45 2024	1723187505	0	1292	1293	1193
Fri Aug 09 09:11:45 2024	1723187505	0	1293	1293	1151
Fri Aug 09 09:11:50 2024	1723187510	0	1295	1295	1186
Fri Aug 09 09:11:38 2024	1723187498	0	1295	1295	1125
Fri Aug 09 09:11:51 2024	1723187511	1	1295	1297	1177
Fri Aug 09 09:11:40 2024	1723187500	0	1297	1297	1295
Fri Aug 09 09:11:32 2024	1723187492	0	1297	1297	986
Fri Aug 09 09:11:39 2024	1723187499	0	1297	1297	957
Fri Aug 09 09:11:32 2024	1723187492	0	1298	1298	1293
Fri Aug 09 09:11:50 2024	1723187510	0	1299	1299	774
Fri Aug 09 09:11:51 2024	1723187511	0	1299	1300	1183
Fri Aug 09 09:11:36 2024	1723187496	0	1301	1301	1133
Fri Aug 09 09:11:43 2024	1723187503	0	1302	1302	1223
Fri Aug 09 09:11:37 2024	1723187497	0	1303	1303	1071
Fri Aug 09 09:11:47 2024	1723187507	0	1303	1303	1302
Fri Aug 09 09:11:44 2024	1723187504	0	1303	1303	1078
Fri Aug 09 09:11:43 2024	1723187503	0	1303	1303	1247
Fri Aug 09 09:11:46 2024	1723187506	0	1303	1303	1278
Fri Aug 09 09:11:33 2024	1723187493	0	1304	1304	1303
Fri Aug 09 09:11:50 2024	1723187510	0	1304	1304	1164
Fri Aug 09 09:11:43 2024	1723187503	0	1305	1305	1262
Fri Aug 09 09:11:33 2024	1723187493	0	1308	1308	1159
Fri Aug 09 09:11:46 2024	1723187506	0	1310	1310	1015
Fri Aug 09 09:11:33 2024	1723187493	0	1311	1311	845
Fri Aug 09 09:11:52 2024	1723187512	0	1311	1311	1299
Fri Aug 09 09:11:50 2024	1723187510	0	1312	1312	745
Fri Aug 09 09:11:43 2024	1723187503	0	1312	1313	1310
Fri Aug 09 09:11:45 2024	1723187505	0	1313	1313	986
Fri Aug 09 09:11:45 2024	1723187505	0	1313	1313	1223
Fri Aug 09 09:11:32 2024	1723187492	0	1317	1317	1316
Fri Aug 09 09:11:46 2024	1723187506	0	1317	1317	1315
Fri Aug 09 09:11:47 2024	1723187507	0	1317	1317	883
Fri Aug 09 09:11:46 2024	1723187506	0	1318	1318	967
Fri Aug 09 09:11:50 2024	1723187510	0	1318	1318	1073
Fri Aug 09 09:11:47 2024	1723187507	0	1319	1319	1318
Fri Aug 09 09:11:47 2024	1723187507	0	1320	1320	1319
Fri Aug 09 09:11:38 2024	1723187498	0	1321	1321	1018
Fri Aug 09 09:11:32 2024	1723187492	0	1321	1321	720
Fri Aug 09 09:11:28 2024	1723187488	4	1317	1321	1258
Fri Aug 09 09:11:51 2024	1723187511	0	1322	1322	1189
Fri Aug 09 09:11:47 2024	1723187507	3	1319	1322	641
Fri Aug 09 09:11:41 2024	1723187501	0	1323	1323	902
Fri Aug 09 09:11:28 2024	1723187488	6	1318	1323	1253
Fri Aug 09 09:11:32 2024	1723187492	1	1324	1324	916
Fri Aug 09 09:11:47 2024	1723187507	0	1325	1325	1124
Fri Aug 09 09:11:32 2024	1723187492	2	1324	1326	808
Fri Aug 09 09:11:49 2024	1723187509	0	1326	1326	1325
Fri Aug 09 09:11:28 2024	1723187488	6	1320	1326	1074
Fri Aug 09 09:11:32 2024	1723187492	2	1325	1327	817
Fri Aug 09 09:11:32 2024	1723187492	1	1326	1327	974
Fri Aug 09 09:11:30 2024	1723187490	0	1328	1328	968
Fri Aug 09 09:11:30 2024	1723187490	0	1328	1328	1327
Fri Aug 09 09:11:29 2024	1723187489	0	1329	1329	1164
Fri Aug 09 09:11:36 2024	1723187496	1	1328	1329	1328
Fri Aug 09 09:11:43 2024	1723187503	0	1329	1329	1303
Fri Aug 09 09:11:50 2024	1723187510	0	1329	1330	865
Fri Aug 09 09:11:33 2024	1723187493	0	1330	1330	840
Fri Aug 09 09:11:47 2024	1723187507	0	1330	1330	1329
Fri Aug 09 09:11:29 2024	1723187489	0	1332	1332	1332
Fri Aug 09 09:11:48 2024	1723187508	0	1332	1333	1043
Fri Aug 09 09:11:48 2024	1723187508	0	1333	1334	727
Fri Aug 09 09:11:39 2024	1723187499	0	1333	1334	880
Fri Aug 09 09:11:47 2024	1723187507	0	1334	1334	1199
Fri Aug 09 09:11:50 2024	1723187510	0	1334	1335	881
Fri Aug 09 09:11:48 2024	1723187508	0	1336	1336	1335
Fri Aug 09 09:11:29 2024	1723187489	0	1336	1336	1150
Fri Aug 09 09:11:32 2024	1723187492	0	1336	1336	912
Fri Aug 09 09:11:32 2024	1723187492	0	1337	1337	952
Fri Aug 09 09:11:32 2024	1723187492	0	1337	1338	946
Fri Aug 09 09:11:32 2024	1723187492	0	1338	1338	1015
Fri Aug 09 09:11:29 2024	1723187489	0	1338	1338	1190
Fri Aug 09 09:11:32 2024	1723187492	0	1338	1339	951
Fri Aug 09 09:11:31 2024	1723187491	0	1339	1339	1338
Fri Aug 09 09:11:32 2024	1723187492	0	1339	1340	1338
Fri Aug 09 09:11:32 2024	1723187492	1	1340	1340	959
Fri Aug 09 09:11:45 2024	1723187505	0	1343	1343	1291
Fri Aug 09 09:11:51 2024	1723187511	1	1342	1343	1315
Fri Aug 09 09:11:37 2024	1723187497	0	1343	1343	1246
Fri Aug 09 09:11:40 2024	1723187500	0	1343	1344	1179
Fri Aug 09 09:11:33 2024	1723187493	0	1344	1344	856
